ID,Fake Name,Description,Category
14062510371,Aerofarm,Future of Sustainable Urban Farming Co raising EUR 6.5M,Venture Capital
11764378192,Pangea Graphite Holdings,A company with producing graphite assets in Africa and Latin America looking to raise circa USD 20M,Natural Resources
29236479110,Jamhub,"An African Peer-2-Peer Marketplace for gear, studio, courses and gigs is looking for USD 500K",Venture Capital
9066524200,Baltic BioAlgae,EUR 15M bridge loan required for a 2/3 complete Algae Biomass plant in Poland,Private Equity
21256265876,LumiCore Technologies,"Patented DeepTech Lightfield Platform with Disruptive Technology and use cases in Healthcare, Automotive, Consumer Electronics, Aerospace, Defense, Digital Marketing, Sports etc., looking to raise USD 5-50M",Venture Capital
10993441873,Beauté Bridge,Unique Asian Marketplace for European Cosmetic & Personal Care Products seeking up to GBP 5M in debt and equity,Venture Capital
9362715715,CarbonVault,UK Carbon Capture Technology Co raising GBP 300K - 700K Seed capital for a pilot project,Venture Capital
4430563235,FleetVolt,"A B2B rapid charging network for electric vehicles, raising GBP 500K",Venture Capital
29236478765,Verdant Lithium,A zero-carbon high quality lithium exploration and development company is looking to raise up to GBP 10M,Private Equity
14062510978,Ascendant Capital Partners,~30% Annual Returns Award-Winning Hedge Fund,Funds
11764377724,Atlas Capital,A hedge fund with 40 different strategies raising up to USD 200M for each of them,Funds
10423168778,Prism Capital,UK BaaS for for Families & Children Expansion in Vietnam raising seeking a GBP 1.25M,Venture Capital
4048722974,BioForge,"An Australian Biogenic Carbon Substitution Co for Industry, Manufacturers & Agriculture is raising initial USD 135M with a pipeline of up to USD 2B",Natural Resources
9697420928,Cloudchefs,Tech-Enabled Cloud Kitchen & Healthy Indian Ready Meal Brand with GBP 965K AR raising GBP 1M,Venture Capital
16619313737,Community Estates,Freehold Social Housing Investment Opportunity in England raising up to GBP 500M equity & debt,Real Estate
4429276014,Consumer Litigation Holdings,"A UK Consumer Litigation platform, raising circa GBP 200M",Private Equity
4431954244,Crestline Capital,"An established international VC fund, raising USD 500M fund VI with 200M already committed",Funds
15103192137,Decentra,"Pioneering Web3, Blockchain, and AI Enterprise Software with GBP 9M Contracted Revenues raising Series A Round of GBP 15M in equity and convertible debt",Venture Capital
10423186034,Vibe3,Web3 based TikTok and Discord killer raising USD 2M,Venture Capital
